"","Year","N","mid","Species"
"389","1977",212.039906103286,14.5,"Sprattus sprattus"
"390","1977",0.828638497652582,18.5,"Sprattus sprattus"
"391","1977",0,22.5,"Sprattus sprattus"
"392","1977",0,26.5,"Sprattus sprattus"
"393","1977",0,30.5,"Sprattus sprattus"
"394","1977",0,34.5,"Sprattus sprattus"
"395","1977",0,38.5,"Sprattus sprattus"
"396","1977",0,42.5,"Sprattus sprattus"
"397","1977",0,46.5,"Sprattus sprattus"
"398","1977",0,50.5,"Sprattus sprattus"
"399","1977",0,54.5,"Sprattus sprattus"
"400","1977",0,58.5,"Sprattus sprattus"
"401","1977",0,62.5,"Sprattus sprattus"
"402","1977",0,66.5,"Sprattus sprattus"
"403","1977",0,70.5,"Sprattus sprattus"
"404","1977",0,74.5,"Sprattus sprattus"
"405","1977",0,78.5,"Sprattus sprattus"
"406","1977",0,82.5,"Sprattus sprattus"
"407","1977",0,86.5,"Sprattus sprattus"
"408","1977",0,90.5,"Sprattus sprattus"
"409","1977",0,94.5,"Sprattus sprattus"
"410","1977",0,98.5,"Sprattus sprattus"
"411","1977",0,102.5,"Sprattus sprattus"
"412","1977",0,106.5,"Sprattus sprattus"
"413","1977",0,110.5,"Sprattus sprattus"
"414","1977",0,114.5,"Sprattus sprattus"
"415","1977",0,118.5,"Sprattus sprattus"
"416","1977",0,122.5,"Sprattus sprattus"
"417","1977",0,126.5,"Sprattus sprattus"
"418","1977",0,130.5,"Sprattus sprattus"
"419","1977",0,134.5,"Sprattus sprattus"
"420","1977",0,138.5,"Sprattus sprattus"
"421","1978",11.7510729613734,2.5,"Sprattus sprattus"
"422","1978",745.618025751073,6.5,"Sprattus sprattus"
"423","1978",957.197424892704,10.5,"Sprattus sprattus"
"424","1978",87.0343347639485,14.5,"Sprattus sprattus"
"425","1978",0.0472103004291846,18.5,"Sprattus sprattus"
"426","1978",0,22.5,"Sprattus sprattus"
"427","1978",0,26.5,"Sprattus sprattus"
"428","1978",0,30.5,"Sprattus sprattus"
"429","1978",0,34.5,"Sprattus sprattus"
"430","1978",0,38.5,"Sprattus sprattus"
"431","1978",0,42.5,"Sprattus sprattus"
"432","1978",0,46.5,"Sprattus sprattus"
"433","1978",0,50.5,"Sprattus sprattus"
"434","1978",0,54.5,"Sprattus sprattus"
"435","1978",0,58.5,"Sprattus sprattus"
"436","1978",0,62.5,"Sprattus sprattus"
"437","1978",0,66.5,"Sprattus sprattus"
"438","1978",0,70.5,"Sprattus sprattus"
